"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","146","test_create_get_post","tests","Sun Mar 15 19:27:13 UTC 2026","skipped","Sun Mar 15 19:27:13 UTC 2026","","test_posts","",""
"","177","test_success_create_post","tests","Sun Mar 15 19:27:12 UTC 2026","passed","Sun Mar 15 19:27:12 UTC 2026","","test_posts","",""
"","173","test_delete_post","tests","Sun Mar 15 19:27:12 UTC 2026","passed","Sun Mar 15 19:27:12 UTC 2026","","test_posts","",""
"","76","test_get_valid_posts[10]","tests","Sun Mar 15 19:27:12 UTC 2026","passed","Sun Mar 15 19:27:12 UTC 2026","","test_posts","",""
"","76","test_succes_get_post","tests","Sun Mar 15 19:27:12 UTC 2026","passed","Sun Mar 15 19:27:12 UTC 2026","","test_posts","",""
"","173","test_create_post_with_no_title","tests","Sun Mar 15 19:27:11 UTC 2026","skipped","Sun Mar 15 19:27:12 UTC 2026","","test_negative","",""
"","92","test_get_post_with_invalid_id[h*&]","tests","Sun Mar 15 19:27:11 UTC 2026","passed","Sun Mar 15 19:27:11 UTC 2026","","test_negative","",""
"","79","test_get_valid_posts[100]","tests","Sun Mar 15 19:27:12 UTC 2026","passed","Sun Mar 15 19:27:12 UTC 2026","","test_posts","",""
"","74","test_get_valid_posts[5]","tests","Sun Mar 15 19:27:12 UTC 2026","passed","Sun Mar 15 19:27:12 UTC 2026","","test_posts","",""
"","73","test_get_post_with_invalid_id[abc]","tests","Sun Mar 15 19:27:11 UTC 2026","passed","Sun Mar 15 19:27:11 UTC 2026","","test_negative","",""
"","74","test_get_valid_posts[1]","tests","Sun Mar 15 19:27:12 UTC 2026","passed","Sun Mar 15 19:27:12 UTC 2026","","test_posts","",""
"","80","test_get_post_with_invalid_id[-34]","tests","Sun Mar 15 19:27:11 UTC 2026","passed","Sun Mar 15 19:27:11 UTC 2026","","test_negative","",""
"","111","test_error_get_post","tests","Sun Mar 15 19:27:11 UTC 2026","passed","Sun Mar 15 19:27:11 UTC 2026","","test_negative","",""
"","83","test_get_post_validation","tests","Sun Mar 15 19:27:12 UTC 2026","passed","Sun Mar 15 19:27:13 UTC 2026","","test_posts","",""
"","259","test_stability","tests","Sun Mar 15 19:27:13 UTC 2026","passed","Sun Mar 15 19:27:13 UTC 2026","","test_stability","",""
"","76","test_post_data_type","tests","Sun Mar 15 19:27:12 UTC 2026","passed","Sun Mar 15 19:27:12 UTC 2026","","test_posts","",""
